spot_id	x	y	clusternum
evenBo15.oddBo59	35	37	1572
evenBo34.oddBo68	16	28	2204
evenBo16.oddBo43	34	53	871
evenBo35.oddBo59	15	37	1696
evenBo14.oddBo41	36	55	777
evenBo13.oddBo56	37	40	943
evenBo18.oddBo26	32	70	1764
evenBo19.oddBo36	31	60	808
evenBo50.oddBo55	0	41	516
evenBo41.oddBo62	9	34	1518
evenBo24.oddBo48	26	48	774
evenBo18.oddBo55	32	41	1118
evenBo34.oddBo65	16	31	1946
evenBo33.oddBo59	17	37	1072
evenBo43.oddBo27	7	69	496
evenBo35.oddBo29	15	67	1113
evenBo14.oddBo38	36	58	1736
evenBo36.oddBo62	14	34	1976
evenBo14.oddBo62	36	34	2087
evenBo19.oddBo41	31	55	1056
evenBo17.oddBo33	33	63	660
evenBo30.oddBo66	20	30	1304
evenBo37.oddBo43	13	53	1481
evenBo20.oddBo21	30	75	1576
evenBo27.oddBo8	23	88	252
evenBo29.oddBo35	21	61	675
evenBo25.oddBo61	25	35	983
evenBo24.oddBo61	26	35	955
evenBo30.oddBo50	20	46	861
evenBo19.oddBo59	31	37	1936
evenBo33.oddBo42	17	54	572
evenBo41.oddBo47	9	49	1307
evenBo49.oddBo24	1	72	719
evenBo6.oddBo44	44	52	441
evenBo47.oddBo51	3	45	792
evenBo43.oddBo56	7	40	1469
evenBo36.oddBo45	14	51	919
evenBo26.oddBo51	24	45	2687
evenBo36.oddBo56	14	40	1430
evenBo14.oddBo46	36	50	521
evenBo24.oddBo58	26	38	2317
evenBo23.oddBo57	27	39	2261
evenBo27.oddBo59	23	37	1050
evenBo35.oddBo60	15	36	1684
evenBo35.oddBo48	15	48	1478
evenBo36.oddBo69	14	27	1477
evenBo42.oddBo20	8	76	1316
evenBo38.oddBo11	12	85	773
evenBo24.oddBo38	26	58	1488
evenBo32.oddBo62	18	34	1587
evenBo45.oddBo12	5	84	357
evenBo31.oddBo59	19	37	895
evenBo14.oddBo33	36	63	778
evenBo35.oddBo57	15	39	2793
evenBo39.oddBo60	11	36	1042
evenBo21.oddBo54	29	42	1931
evenBo10.oddBo38	40	58	808
evenBo18.oddBo51	32	45	1439
evenBo15.oddBo53	35	43	1155
evenBo17.oddBo57	33	39	1937
evenBo12.oddBo39	38	57	622
evenBo40.oddBo67	10	29	1872
evenBo43.oddBo67	7	29	1047
evenBo15.oddBo21	35	75	943
evenBo16.oddBo21	34	75	3466
evenBo35.oddBo70	15	26	1828
evenBo33.oddBo41	17	55	732
evenBo16.oddBo41	34	55	793
evenBo33.oddBo63	17	33	2439
evenBo29.oddBo52	21	44	1220
evenBo44.oddBo32	6	64	588
evenBo24.oddBo55	26	41	1019
evenBo38.oddBo64	12	32	2367
evenBo25.oddBo32	25	64	566
evenBo13.oddBo53	37	43	1234
evenBo50.oddBo22	0	74	354
evenBo9.oddBo39	41	57	375
evenBo20.oddBo47	30	49	993
evenBo34.oddBo69	16	27	2117
evenBo22.oddBo1	28	95	447
evenBo37.oddBo62	13	34	2185
evenBo18.oddBo34	32	62	571
evenBo25.oddBo62	25	34	1552
evenBo30.oddBo6	20	90	971
evenBo20.oddBo53	30	43	1859
evenBo10.oddBo24	40	72	348
evenBo35.oddBo63	15	33	3033
evenBo41.oddBo21	9	75	2097
evenBo33.oddBo46	17	50	927
evenBo45.oddBo58	5	38	1257
evenBo18.oddBo52	32	44	963
evenBo27.oddBo57	23	39	1428
evenBo35.oddBo43	15	53	1508
evenBo40.oddBo47	10	49	1160
evenBo29.oddBo31	21	65	658
evenBo19.oddBo65	31	31	916
evenBo24.oddBo52	26	44	1118
evenBo45.oddBo19	5	77	2870
evenBo11.oddBo47	39	49	546
evenBo9.oddBo49	41	47	504
evenBo42.oddBo21	8	75	2622
evenBo15.oddBo58	35	38	1758
evenBo9.oddBo33	41	63	448
evenBo36.oddBo57	14	39	1203
evenBo23.oddBo41	27	55	758
evenBo29.oddBo56	21	40	1330
evenBo14.oddBo56	36	40	1664
evenBo10.oddBo37	40	59	633
evenBo22.oddBo58	28	38	1373
evenBo28.oddBo63	22	33	1997
evenBo30.oddBo18	20	78	273
evenBo43.oddBo16	7	80	2180
evenBo24.oddBo67	26	29	1569
evenBo47.oddBo23	3	73	1353
evenBo29.oddBo54	21	42	1983
evenBo32.oddBo45	18	51	609
evenBo38.oddBo47	12	49	1106
evenBo44.oddBo53	6	43	963
evenBo41.oddBo38	9	58	951
evenBo29.oddBo23	21	73	495
evenBo46.oddBo57	4	39	988
evenBo38.oddBo13	12	83	1224
evenBo17.oddBo41	33	55	811
evenBo14.oddBo54	36	42	1316
evenBo33.oddBo58	17	38	2338
evenBo35.oddBo44	15	52	1197
evenBo20.oddBo57	30	39	1597
evenBo3.oddBo56	47	40	174
evenBo41.oddBo46	9	50	1363
evenBo45.oddBo22	5	74	1612
evenBo40.oddBo14	10	82	1433
evenBo33.oddBo30	17	66	734
evenBo28.oddBo62	22	34	1615
evenBo26.oddBo53	24	43	1483
evenBo36.oddBo58	14	38	2105
evenBo20.oddBo40	30	56	704
evenBo44.oddBo28	6	68	901
evenBo34.oddBo53	16	43	1618
evenBo23.oddBo63	27	33	1400
evenBo19.oddBo67	31	29	964
evenBo18.oddBo58	32	38	1439
evenBo40.oddBo37	10	59	1100
evenBo14.oddBo39	36	57	804
evenBo40.oddBo61	10	35	1585
evenBo49.oddBo58	1	38	782
evenBo19.oddBo50	31	46	945
evenBo29.oddBo65	21	31	1254
evenBo17.oddBo56	33	40	2202
evenBo47.oddBo59	3	37	809
evenBo44.oddBo14	6	82	819
evenBo34.oddBo50	16	46	1103
evenBo8.oddBo53	42	43	879
evenBo10.oddBo52	40	44	776
evenBo33.oddBo65	17	31	1203
evenBo37.oddBo13	13	83	754
evenBo37.oddBo50	13	46	836
evenBo16.oddBo62	34	34	1119
evenBo36.oddBo51	14	45	1590
evenBo26.oddBo56	24	40	2102
evenBo22.oddBo53	28	43	1466
evenBo40.oddBo58	10	38	2031
evenBo38.oddBo63	12	33	3061
evenBo20.oddBo27	30	69	825
evenBo8.oddBo37	42	59	679
evenBo36.oddBo66	14	30	1194
evenBo6.oddBo43	44	53	1371
evenBo35.oddBo30	15	66	1033
evenBo33.oddBo57	17	39	1180
evenBo24.oddBo35	26	61	1058
evenBo14.oddBo61	36	35	2400
evenBo11.oddBo38	39	58	631
evenBo18.oddBo60	32	36	960
evenBo18.oddBo20	32	76	798
evenBo14.oddBo29	36	67	1321
evenBo34.oddBo57	16	39	2386
evenBo33.oddBo56	17	40	615
evenBo35.oddBo52	15	44	1104
evenBo33.oddBo61	17	35	1445
evenBo26.oddBo39	24	57	709
evenBo45.oddBo54	5	42	656
evenBo31.oddBo48	19	48	649
evenBo34.oddBo15	16	81	863
evenBo44.oddBo23	6	73	1376
evenBo20.oddBo51	30	45	981
evenBo34.oddBo29	16	67	832
evenBo40.oddBo63	10	33	2239
evenBo13.oddBo61	37	35	702
evenBo42.oddBo41	8	55	706
evenBo39.oddBo69	11	27	1379
evenBo24.oddBo64	26	32	1162
evenBo44.oddBo59	6	37	1229
evenBo21.oddBo67	29	29	1021
evenBo21.oddBo58	29	38	842
evenBo20.oddBo5	30	91	177
evenBo34.oddBo52	16	44	1402
evenBo35.oddBo51	15	45	3127
evenBo30.oddBo67	20	29	1821
evenBo33.oddBo51	17	45	1666
evenBo40.oddBo60	10	36	1726
evenBo45.oddBo2	5	94	250
evenBo28.oddBo51	22	45	2312
evenBo45.oddBo69	5	27	1088
evenBo42.oddBo27	8	69	871
evenBo10.oddBo59	40	37	476
evenBo35.oddBo66	15	30	1946
evenBo13.oddBo48	37	48	693
evenBo14.oddBo53	36	43	2242
evenBo19.oddBo26	31	70	1816
evenBo30.oddBo25	20	71	489
evenBo25.oddBo55	25	41	1247
evenBo7.oddBo35	43	61	629
evenBo9.oddBo38	41	58	797
evenBo43.oddBo44	7	52	524
evenBo49.oddBo63	1	33	1069
evenBo28.oddBo67	22	29	1325
evenBo9.oddBo51	41	45	1141
evenBo36.oddBo67	14	29	1777
evenBo17.oddBo20	33	76	1751
evenBo24.oddBo53	26	43	1846
evenBo35.oddBo58	15	38	2136
evenBo7.oddBo22	43	74	497
evenBo41.oddBo51	9	45	1202
evenBo41.oddBo67	9	29	1656
evenBo37.oddBo59	13	37	2038
evenBo30.oddBo58	20	38	1039
evenBo21.oddBo62	29	34	550
evenBo50.oddBo63	0	33	920
evenBo25.oddBo57	25	39	1438
evenBo38.oddBo39	12	57	903
evenBo50.oddBo62	0	34	786
evenBo31.oddBo44	19	52	1049
evenBo42.oddBo16	8	80	2244
evenBo21.oddBo69	29	27	764
evenBo12.oddBo56	38	40	1265
evenBo47.oddBo18	3	78	830
evenBo12.oddBo57	38	39	1275
evenBo50.oddBo70	0	26	816
evenBo15.oddBo62	35	34	1356
evenBo34.oddBo51	16	45	2462
evenBo37.oddBo66	13	30	1716
evenBo39.oddBo33	11	63	431
evenBo36.oddBo22	14	74	1207
evenBo46.oddBo21	4	75	1924
evenBo38.oddBo67	12	29	2718
evenBo29.oddBo28	21	68	1035
evenBo35.oddBo62	15	34	2334
evenBo23.oddBo66	27	30	1389
evenBo43.oddBo65	7	31	1091
evenBo49.oddBo67	1	29	921
evenBo17.oddBo13	33	83	990
evenBo33.oddBo68	17	28	1736
evenBo8.oddBo36	42	60	451
evenBo10.oddBo49	40	47	428
evenBo45.oddBo21	5	75	2748
evenBo27.oddBo56	23	40	1416
evenBo32.oddBo69	18	27	1859
evenBo20.oddBo64	30	32	597
evenBo40.oddBo66	10	30	1996
evenBo29.oddBo63	21	33	1661
evenBo43.oddBo57	7	39	1033
evenBo46.oddBo66	4	30	545
evenBo26.oddBo63	24	33	2018
evenBo34.oddBo66	16	30	1887
evenBo14.oddBo49	36	47	772
evenBo38.oddBo58	12	38	2924
evenBo16.oddBo56	34	40	2006
evenBo50.oddBo60	0	36	693
evenBo37.oddBo67	13	29	2124
evenBo13.oddBo63	37	33	891
evenBo38.oddBo66	12	30	2248
evenBo33.oddBo45	17	51	1086
evenBo48.oddBo54	2	42	776
evenBo35.oddBo9	15	87	1035
evenBo29.oddBo57	21	39	1744
evenBo42.oddBo54	8	42	2009
evenBo34.oddBo59	16	37	1969
evenBo26.oddBo67	24	29	2155
evenBo38.oddBo60	12	36	1933
evenBo14.oddBo58	36	38	2747
evenBo38.oddBo51	12	45	1383
evenBo23.oddBo58	27	38	2860
evenBo16.oddBo61	34	35	984
evenBo38.oddBo53	12	43	1281
evenBo17.oddBo59	33	37	1700
evenBo38.oddBo14	12	82	2058
evenBo18.oddBo16	32	80	423
evenBo37.oddBo61	13	35	2292
evenBo49.oddBo57	1	39	1414
evenBo22.oddBo43	28	53	998
evenBo15.oddBo51	35	45	873
evenBo35.oddBo65	15	31	1749
evenBo35.oddBo38	15	58	1327
evenBo18.oddBo53	32	43	2254
evenBo19.oddBo55	31	41	1618
evenBo39.oddBo22	11	74	776
evenBo15.oddBo15	35	81	523
evenBo11.oddBo57	39	39	796
evenBo38.oddBo20	12	76	578
evenBo26.oddBo47	24	49	1350
evenBo31.oddBo62	19	34	1993
evenBo8.oddBo69	42	27	247
evenBo43.oddBo41	7	55	313
evenBo48.oddBo22	2	74	1190
evenBo14.oddBo60	36	36	1802
evenBo21.oddBo55	29	41	1199
evenBo37.oddBo56	13	40	2437
evenBo21.oddBo53	29	43	1373
evenBo25.oddBo49	25	47	724
evenBo25.oddBo50	25	46	678
evenBo19.oddBo40	31	56	622
evenBo7.oddBo40	43	56	622
evenBo9.oddBo54	41	42	704
evenBo41.oddBo58	9	38	1728
evenBo34.oddBo23	16	73	1224
evenBo39.oddBo59	11	37	1281
evenBo21.oddBo60	29	36	1070
evenBo38.oddBo29	12	67	605
evenBo20.oddBo49	30	47	1150
evenBo33.oddBo69	17	27	1614
evenBo16.oddBo69	34	27	724
evenBo17.oddBo43	33	53	1094
evenBo35.oddBo68	15	28	2377
evenBo14.oddBo48	36	48	1089
evenBo34.oddBo18	16	78	1794
evenBo44.oddBo37	6	59	599
evenBo11.oddBo70	39	26	568
evenBo34.oddBo16	16	80	1735
