spot_id	x	y	legnum
evenBo15.oddBo59	35	37	79408
evenBo34.oddBo68	16	28	103071
evenBo16.oddBo43	34	53	30972
evenBo35.oddBo59	15	37	38261
evenBo14.oddBo41	36	55	21576
evenBo13.oddBo56	37	40	24679
evenBo18.oddBo26	32	70	90328
evenBo19.oddBo36	31	60	17764
evenBo50.oddBo55	0	41	7465
evenBo41.oddBo62	9	34	28689
evenBo24.oddBo48	26	48	22365
evenBo18.oddBo55	32	41	43462
evenBo34.oddBo65	16	31	69584
evenBo33.oddBo59	17	37	37594
evenBo43.oddBo27	7	69	5263
evenBo35.oddBo29	15	67	25094
evenBo14.oddBo38	36	58	99749
evenBo36.oddBo62	14	34	79718
evenBo14.oddBo62	36	34	121471
evenBo19.oddBo41	31	55	30200
evenBo17.oddBo33	33	63	6652
evenBo30.oddBo66	20	30	35184
evenBo37.oddBo43	13	53	61377
evenBo20.oddBo21	30	75	54567
evenBo27.oddBo8	23	88	1630
evenBo29.oddBo35	21	61	6833
evenBo25.oddBo61	25	35	17770
evenBo24.oddBo61	26	35	18613
evenBo30.oddBo50	20	46	22784
evenBo19.oddBo59	31	37	97702
evenBo33.oddBo42	17	54	4495
evenBo41.oddBo47	9	49	47518
evenBo49.oddBo24	1	72	6219
evenBo6.oddBo44	44	52	13108
evenBo47.oddBo51	3	45	43263
evenBo43.oddBo56	7	40	62729
evenBo36.oddBo45	14	51	26383
evenBo26.oddBo51	24	45	173760
evenBo36.oddBo56	14	40	74454
evenBo14.oddBo46	36	50	7128
evenBo24.oddBo58	26	38	94803
evenBo23.oddBo57	27	39	127219
evenBo27.oddBo59	23	37	48474
evenBo35.oddBo60	15	36	53750
evenBo35.oddBo48	15	48	33726
evenBo36.oddBo69	14	27	49518
evenBo42.oddBo20	8	76	27643
evenBo38.oddBo11	12	85	19541
evenBo24.oddBo38	26	58	48845
evenBo32.oddBo62	18	34	56783
evenBo45.oddBo12	5	84	1200
evenBo31.oddBo59	19	37	23120
evenBo14.oddBo33	36	63	16892
evenBo35.oddBo57	15	39	131407
