spot_id	x	y	clusternum
evenBo30.oddBo65	20	31	1623
evenBo28.oddBo54	22	42	1929
evenBo37.oddBo85	13	11	1125
evenBo29.oddBo20	21	76	841
evenBo11.oddBo66	39	30	1067
evenBo38.oddBo59	12	37	3671
evenBo31.oddBo37	19	59	1088
evenBo38.oddBo81	12	15	1028
evenBo36.oddBo21	14	75	759
evenBo41.oddBo76	9	20	1113
evenBo38.oddBo79	12	17	1028
evenBo32.oddBo71	18	25	1663
evenBo9.oddBo60	41	36	684
evenBo17.oddBo70	33	26	883
evenBo36.oddBo35	14	61	1080
evenBo24.oddBo43	26	53	900
evenBo14.oddBo75	36	21	734
evenBo43.oddBo71	7	25	1156
evenBo37.oddBo84	13	12	1094
evenBo41.oddBo46	9	50	934
evenBo14.oddBo50	36	46	340
evenBo11.oddBo68	39	28	1067
evenBo41.oddBo35	9	61	785
evenBo34.oddBo46	16	50	1232
evenBo16.oddBo61	34	35	779
evenBo37.oddBo75	13	21	1559
evenBo14.oddBo76	36	20	624
evenBo35.oddBo62	15	34	1858
evenBo32.oddBo67	18	29	1644
evenBo6.oddBo57	44	39	655
evenBo3.oddBo51	47	45	274
evenBo36.oddBo93	14	3	955
evenBo2.oddBo58	48	38	537
evenBo23.oddBo53	27	43	1585
evenBo37.oddBo59	13	37	3447
evenBo24.oddBo62	26	34	668
evenBo46.oddBo45	4	51	464
evenBo30.oddBo68	20	28	1584
evenBo39.oddBo82	11	14	1044
evenBo29.oddBo73	21	23	1300
evenBo30.oddBo91	20	5	552
evenBo26.oddBo1	24	95	479
evenBo48.oddBo72	2	24	875
evenBo9.oddBo27	41	69	486
evenBo19.oddBo50	31	46	843
evenBo26.oddBo89	24	7	779
evenBo9.oddBo65	41	31	995
evenBo39.oddBo81	11	15	768
evenBo18.oddBo72	32	24	932
evenBo33.oddBo69	17	27	1314
evenBo32.oddBo84	18	12	587
evenBo37.oddBo76	13	20	1329
evenBo29.oddBo53	21	43	470
evenBo13.oddBo49	37	47	447
evenBo48.oddBo61	2	35	472
evenBo30.oddBo40	20	56	936
evenBo38.oddBo61	12	35	1264
evenBo24.oddBo35	26	61	710
evenBo32.oddBo21	18	75	810
evenBo36.oddBo59	14	37	3289
evenBo30.oddBo67	20	29	2453
evenBo38.oddBo48	12	48	1045
evenBo12.oddBo49	38	47	386
evenBo12.oddBo17	38	79	811
evenBo41.oddBo12	9	84	505
evenBo38.oddBo69	12	27	1278
evenBo10.oddBo66	40	30	1338
evenBo35.oddBo48	15	48	1615
evenBo26.oddBo56	24	40	1288
evenBo13.oddBo52	37	44	269
evenBo37.oddBo65	13	31	1352
evenBo8.oddBo63	42	33	1274
evenBo26.oddBo36	24	60	897
evenBo39.oddBo58	11	38	2755
evenBo32.oddBo76	18	20	1121
evenBo34.oddBo35	16	61	1150
evenBo22.oddBo10	28	86	807
evenBo4.oddBo69	46	27	154
evenBo10.oddBo62	40	34	774
evenBo38.oddBo71	12	25	1290
evenBo27.oddBo66	23	30	686
evenBo12.oddBo28	38	68	657
evenBo5.oddBo27	45	69	398
evenBo35.oddBo10	15	86	904
evenBo45.oddBo60	5	36	615
evenBo21.oddBo3	29	93	1059
evenBo27.oddBo55	23	41	926
evenBo48.oddBo91	2	5	457
evenBo31.oddBo63	19	33	2137
