	legnum
evenBo30.oddBo65	67849
evenBo28.oddBo54	337851
evenBo37.oddBo85	56236
evenBo29.oddBo20	28257
evenBo11.oddBo66	123261
evenBo38.oddBo59	428785
evenBo31.oddBo37	83352
evenBo38.oddBo81	68298
evenBo36.oddBo21	49642
evenBo41.oddBo76	63749
evenBo38.oddBo79	31443
evenBo32.oddBo71	94100
evenBo9.oddBo60	28909
evenBo17.oddBo70	41908
evenBo36.oddBo35	51955
evenBo24.oddBo43	37363
evenBo14.oddBo75	5668
evenBo43.oddBo71	57950
evenBo37.oddBo84	72530
evenBo41.oddBo46	55984
evenBo14.oddBo50	7053
evenBo11.oddBo68	128096
evenBo41.oddBo35	44268
evenBo34.oddBo46	64498
evenBo16.oddBo61	30502
evenBo37.oddBo75	84409
evenBo14.oddBo76	57260
evenBo35.oddBo62	81524
evenBo32.oddBo67	83925
evenBo6.oddBo57	37804
evenBo3.oddBo51	6539
evenBo36.oddBo93	25650
evenBo2.oddBo58	79643
evenBo23.oddBo53	137842
evenBo37.oddBo59	391416
evenBo24.oddBo62	24703
evenBo46.oddBo45	7825
evenBo30.oddBo68	115113
evenBo39.oddBo82	67964
evenBo29.oddBo73	89664
evenBo30.oddBo91	16110
evenBo26.oddBo1	42334
evenBo48.oddBo72	7234
evenBo9.oddBo27	10167
evenBo19.oddBo50	34176
evenBo26.oddBo89	49288
evenBo9.oddBo65	106249
evenBo39.oddBo81	48750
evenBo18.oddBo72	48776
evenBo33.oddBo69	133459
evenBo32.oddBo84	9264
evenBo37.oddBo76	46637
evenBo29.oddBo53	25246
evenBo13.oddBo49	23880
evenBo48.oddBo61	9685
evenBo30.oddBo40	46390
evenBo38.oddBo61	53725
evenBo24.oddBo35	15851
evenBo32.oddBo21	18689
evenBo36.oddBo59	357163
evenBo30.oddBo67	158115
evenBo38.oddBo48	55858
evenBo12.oddBo49	21689
evenBo12.oddBo17	32125
evenBo41.oddBo12	15615
evenBo38.oddBo69	33044
evenBo10.oddBo66	204217
evenBo35.oddBo48	99657
evenBo26.oddBo56	146000
evenBo13.oddBo52	6447
evenBo37.oddBo65	62002
evenBo8.oddBo63	163467
evenBo26.oddBo36	48420
evenBo39.oddBo58	252009
evenBo32.oddBo76	44445
evenBo34.oddBo35	84957
evenBo22.oddBo10	10295
evenBo4.oddBo69	1231
evenBo10.oddBo62	27981
evenBo38.oddBo71	7451
evenBo27.oddBo66	14664
evenBo12.oddBo28	35444
evenBo5.oddBo27	13565
evenBo35.oddBo10	8574
evenBo45.oddBo60	28425
evenBo21.oddBo3	77583
evenBo27.oddBo55	102924
evenBo48.oddBo91	38960
evenBo31.oddBo63	144603
evenBo34.oddBo60	93995
evenBo21.oddBo11	24214
evenBo33.oddBo66	12853
evenBo46.oddBo48	38549
evenBo8.oddBo77	2267
evenBo19.oddBo11	37758
evenBo31.oddBo33	100606
evenBo7.oddBo58	135157
evenBo20.oddBo10	63041
evenBo7.oddBo25	22390
evenBo29.oddBo32	60904
evenBo39.oddBo90	8103
evenBo30.oddBo55	58875
evenBo26.oddBo54	58530
evenBo30.oddBo33	111843
evenBo40.oddBo27	15047
evenBo28.oddBo42	28065
evenBo42.oddBo63	59565
evenBo1.oddBo52	23014
evenBo11.oddBo49	23404
evenBo38.oddBo8	28165
evenBo47.oddBo36	8133
evenBo41.oddBo78	221788
evenBo27.oddBo28	24448
evenBo21.oddBo4	13866
evenBo36.oddBo71	21770
evenBo42.oddBo61	54840
evenBo41.oddBo40	30769
evenBo41.oddBo81	58279
evenBo15.oddBo50	40167
evenBo48.oddBo47	720
evenBo10.oddBo23	89965
evenBo39.oddBo8	14380
evenBo10.oddBo63	18704
evenBo8.oddBo54	81255
evenBo45.oddBo50	2302
evenBo31.oddBo74	52603
evenBo21.oddBo55	28831
evenBo15.oddBo13	10300
evenBo40.oddBo78	141586
evenBo16.oddBo38	86342
evenBo16.oddBo65	121071
evenBo13.oddBo70	43637
evenBo23.oddBo10	61637
evenBo35.oddBo50	17801
