tissue	chrom	start1_bin	mid1_bin	end1_bin	start2_bin	mid2_bin	end2_bin	bin_distance	cate	contact_num
17	2	25	30	36	70	75	80	45	A-A	27216
17	2	25	30	36	90	92	94	62	A-A	8091
17	2	25	30	36	102	104	106	74	A-A	5543
17	2	25	30	36	115	115	116	85	A-A	3860
17	2	25	30	36	117	133	149	103	A-A	63951
17	2	25	30	36	151	164	177	134	A-A	65183
17	2	25	30	36	178	179	180	149	A-A	6074
17	2	59	60	61	102	104	106	44	A-A	2781
17	2	59	60	61	115	115	116	55	A-A	932
17	2	59	60	61	117	133	149	73	A-A	15707
17	2	59	60	61	151	164	177	104	A-A	9649
17	2	59	60	61	178	179	180	119	A-A	1065
17	2	70	75	80	115	115	116	40	A-A	2471
17	2	70	75	80	117	133	149	58	A-A	83531
17	2	70	75	80	151	164	177	89	A-A	48317
17	2	70	75	80	178	179	180	104	A-A	3294
17	2	90	92	94	117	133	149	41	A-A	17257
17	2	90	92	94	151	164	177	72	A-A	11548
17	2	90	92	94	178	179	180	87	A-A	1214
17	2	102	104	106	117	133	149	29	A-A	6344
17	2	102	104	106	151	164	177	60	A-A	16661
17	2	102	104	106	178	179	180	75	A-A	2193
17	2	115	115	116	151	164	177	49	A-A	7113
17	2	115	115	116	178	179	180	64	A-A	917
17	2	117	133	149	151	164	177	31	A-A	57688
17	2	117	133	149	178	179	180	46	A-A	15367
17	2	0	12	25	36	47	59	35	B-B	40567
17	2	0	12	25	61	65	70	53	B-B	72757
17	2	0	12	25	80	85	90	73	B-B	69071
17	2	0	12	25	94	98	102	86	B-B	50367
17	2	0	12	25	106	110	115	98	B-B	38176
17	2	0	12	25	116	116	117	104	B-B	8626
17	2	0	12	25	149	150	151	138	B-B	8827
17	2	0	12	25	177	177	178	165	B-B	7898
17	2	36	47	59	80	85	90	38	B-B	32839
17	2	36	47	59	94	98	102	51	B-B	44854
17	2	36	47	59	106	110	115	63	B-B	44251
17	2	36	47	59	116	116	117	69	B-B	6531
17	2	36	47	59	149	150	151	103	B-B	8726
17	2	36	47	59	177	177	178	130	B-B	10200
17	2	61	65	70	94	98	102	33	B-B	414
17	2	61	65	70	106	110	115	45	B-B	22850
17	2	61	65	70	116	116	117	51	B-B	3748
17	2	61	65	70	149	150	151	85	B-B	3600
17	2	61	65	70	177	177	178	112	B-B	6021
17	2	80	85	90	149	150	151	65	B-B	6162
17	2	80	85	90	177	177	178	92	B-B	5153
17	2	94	98	102	149	150	151	52	B-B	7068
17	2	94	98	102	177	177	178	79	B-B	6711
17	2	106	110	115	149	150	151	40	B-B	2447
17	2	106	110	115	177	177	178	67	B-B	5349
17	2	116	116	117	177	177	178	61	B-B	977
17	4	11	12	14	53	58	64	46	A-A	9979
17	4	11	12	14	82	85	89	73	A-A	9313
17	4	11	12	14	98	104	110	92	A-A	7623
17	4	11	12	14	116	130	144	118	A-A	11866
17	4	11	12	14	148	151	154	139	A-A	2382
17	4	32	33	34	82	85	89	52	A-A	4558
17	4	32	33	34	98	104	110	71	A-A	4480
17	4	32	33	34	116	130	144	97	A-A	8615
17	4	32	33	34	148	151	154	118	A-A	1826
17	4	41	45	49	82	85	89	40	A-A	5951
17	4	41	45	49	98	104	110	59	A-A	15628
17	4	41	45	49	116	130	144	85	A-A	33709
17	4	41	45	49	148	151	154	106	A-A	6834
17	4	53	58	64	98	104	110	46	A-A	23044
17	4	53	58	64	116	130	144	72	A-A	40964
17	4	53	58	64	148	151	154	93	A-A	11055
17	4	82	85	89	116	130	144	45	A-A	16225
17	4	82	85	89	148	151	154	66	A-A	6487
17	4	98	104	110	116	130	144	26	A-A	3198
17	4	98	104	110	148	151	154	47	A-A	14812
17	4	0	5	11	49	51	53	46	B-B	10440
17	4	0	5	11	64	73	82	68	B-B	35048
17	4	0	5	11	89	93	98	88	B-B	21690
17	4	0	5	11	110	113	116	108	B-B	6988
17	4	0	5	11	144	146	148	141	B-B	8871
17	4	14	23	32	64	73	82	50	B-B	74768
17	4	14	23	32	89	93	98	70	B-B	43997
17	4	14	23	32	110	113	116	90	B-B	13647
17	4	14	23	32	144	146	148	123	B-B	13044
17	4	34	37	41	64	73	82	36	B-B	8552
17	4	34	37	41	89	93	98	56	B-B	12784
17	4	34	37	41	110	113	116	76	B-B	8276
17	4	34	37	41	144	146	148	109	B-B	6554
17	4	49	51	53	89	93	98	42	B-B	10171
17	4	49	51	53	110	113	116	62	B-B	8478
17	4	49	51	53	144	146	148	95	B-B	4314
17	4	64	73	82	110	113	116	40	B-B	11614
17	4	64	73	82	144	146	148	73	B-B	13099
17	4	89	93	98	144	146	148	53	B-B	6604
17	5	24	25	26	64	65	67	40	A-A	1871
17	5	24	25	26	73	75	77	50	A-A	2223
17	5	24	25	26	99	101	104	76	A-A	1711
17	5	24	25	26	106	107	108	82	A-A	1215
17	5	24	25	26	110	127	145	102	A-A	9245
17	5	24	25	26	146	147	149	122	A-A	1319
17	5	28	33	38	73	75	77	42	A-A	7192
17	5	28	33	38	99	101	104	68	A-A	8211
17	5	28	33	38	106	107	108	74	A-A	6266
17	5	28	33	38	110	127	145	94	A-A	50423
17	5	28	33	38	146	147	149	114	A-A	6370
17	5	64	65	67	99	101	104	36	A-A	100
17	5	64	65	67	106	107	108	42	A-A	2250
17	5	64	65	67	110	127	145	62	A-A	17424
17	5	64	65	67	146	147	149	82	A-A	2508
17	5	73	75	77	110	127	145	52	A-A	19924
17	5	73	75	77	146	147	149	72	A-A	3227
17	5	99	101	104	110	127	145	26	A-A	3591
17	5	99	101	104	146	147	149	46	A-A	3831
17	5	106	107	108	146	147	149	40	A-A	1355
17	5	0	12	24	38	51	64	39	B-B	62069
17	5	0	12	24	67	70	73	58	B-B	37322
17	5	0	12	24	77	88	99	76	B-B	108900
17	5	0	12	24	104	105	106	93	B-B	10352
17	5	0	12	24	108	109	110	97	B-B	10984
17	5	0	12	24	145	145	146	133	B-B	11132
17	5	26	27	28	67	70	73	43	B-B	3835
17	5	26	27	28	77	88	99	61	B-B	9334
17	5	26	27	28	104	105	106	78	B-B	1343
17	5	26	27	28	108	109	110	82	B-B	1274
17	5	26	27	28	145	145	146	118	B-B	858
17	5	38	51	64	77	88	99	37	B-B	38022
17	5	38	51	64	104	105	106	54	B-B	21748
17	5	38	51	64	108	109	110	58	B-B	13747
17	5	38	51	64	145	145	146	94	B-B	10156
17	5	67	70	73	108	109	110	39	B-B	1198
17	5	67	70	73	145	145	146	75	B-B	3177
17	5	77	88	99	145	145	146	57	B-B	11589
17	5	104	105	106	145	145	146	40	B-B	760
17	6	29	34	40	71	72	73	38	A-A	1573
17	6	29	34	40	83	92	102	58	A-A	35642
17	6	29	34	40	108	108	109	74	A-A	1624
17	6	29	34	40	112	116	121	82	A-A	15048
17	6	29	34	40	125	127	129	93	A-A	7360
17	6	29	34	40	134	136	138	102	A-A	5058
17	6	29	34	40	139	143	147	109	A-A	11745
17	6	48	51	55	83	92	102	41	A-A	15810
17	6	48	51	55	108	108	109	57	A-A	1422
17	6	48	51	55	112	116	121	65	A-A	12604
17	6	48	51	55	125	127	129	76	A-A	4600
17	6	48	51	55	134	136	138	85	A-A	3597
17	6	48	51	55	139	143	147	92	A-A	11214
17	6	71	72	73	112	116	121	44	A-A	5409
17	6	71	72	73	125	127	129	55	A-A	1531
17	6	71	72	73	134	136	138	64	A-A	1757
17	6	71	72	73	139	143	147	71	A-A	3834
17	6	83	92	102	125	127	129	35	A-A	3374
17	6	83	92	102	134	136	138	44	A-A	10628
17	6	83	92	102	139	143	147	51	A-A	30959
17	6	0	14	29	40	44	48	30	B-B	4723
17	6	0	14	29	55	63	71	49	B-B	88386
17	6	0	14	29	73	78	83	64	B-B	63994
17	6	0	14	29	102	105	108	91	B-B	35177
17	6	0	14	29	109	110	112	96	B-B	17083
17	6	0	14	29	121	123	125	109	B-B	19779
17	6	0	14	29	129	131	134	117	B-B	32545
17	6	0	14	29	138	138	139	124	B-B	5275
17	6	40	44	48	73	78	83	34	B-B	652
17	6	40	44	48	102	105	108	61	B-B	7041
17	6	40	44	48	109	110	112	66	B-B	3024
17	6	40	44	48	121	123	125	79	B-B	5892
17	6	40	44	48	129	131	134	87	B-B	5918
17	6	40	44	48	138	138	139	94	B-B	1050
17	6	55	63	71	102	105	108	42	B-B	11890
17	6	55	63	71	109	110	112	47	B-B	9072
17	6	55	63	71	121	123	125	60	B-B	10493
17	6	55	63	71	129	131	134	68	B-B	16709
17	6	55	63	71	138	138	139	75	B-B	4384
17	6	73	78	83	121	123	125	45	B-B	7892
17	6	73	78	83	129	131	134	53	B-B	10481
17	6	73	78	83	138	138	139	60	B-B	3310
17	8	10	12	15	69	71	73	59	A-A	3161
17	8	10	12	15	78	79	81	67	A-A	3879
17	8	10	12	15	83	89	96	77	A-A	9428
17	8	10	12	15	104	115	127	103	A-A	12127
17	8	22	24	27	69	71	73	47	A-A	2659
17	8	22	24	27	78	79	81	55	A-A	3049
17	8	22	24	27	83	89	96	65	A-A	8491
17	8	22	24	27	104	115	127	91	A-A	16462
17	8	33	35	37	69	71	73	36	A-A	105
17	8	33	35	37	78	79	81	44	A-A	3702
17	8	33	35	37	83	89	96	54	A-A	11025
17	8	33	35	37	104	115	127	80	A-A	13870
17	8	45	46	48	83	89	96	43	A-A	5811
17	8	45	46	48	104	115	127	69	A-A	14461
17	8	69	71	73	104	115	127	44	A-A	11162
17	8	78	79	81	104	115	127	36	A-A	8160
17	8	83	89	96	104	115	127	26	A-A	3604
17	8	0	5	10	37	41	45	36	B-B	368
17	8	0	5	10	48	58	69	53	B-B	27339
17	8	0	5	10	73	75	78	70	B-B	6109
17	8	0	5	10	81	82	83	77	B-B	3104
17	8	0	5	10	96	100	104	95	B-B	8362
17	8	15	18	22	48	58	69	40	B-B	18731
17	8	15	18	22	73	75	78	57	B-B	10315
17	8	15	18	22	81	82	83	64	B-B	3458
17	8	15	18	22	96	100	104	82	B-B	10941
17	8	27	30	33	48	58	69	28	B-B	447
17	8	27	30	33	73	75	78	45	B-B	6655
17	8	27	30	33	81	82	83	52	B-B	3138
17	8	27	30	33	96	100	104	70	B-B	8808
17	8	37	41	45	73	75	78	34	B-B	430
17	8	37	41	45	81	82	83	41	B-B	2251
17	8	37	41	45	96	100	104	59	B-B	11862
17	8	48	58	69	96	100	104	42	B-B	16406
17	9	21	21	22	42	58	74	37	A-A	3104
17	9	21	21	22	96	109	122	88	A-A	7817
17	9	42	58	74	96	109	122	51	A-A	108939
17	9	0	10	21	74	85	96	75	B-B	96535
17	9	22	32	42	74	85	96	53	B-B	79496
17	11	0	3	7	50	53	56	50	A-A	4400
17	11	0	3	7	57	64	72	61	A-A	10946
17	11	0	3	7	75	82	89	79	A-A	10319
17	11	0	3	7	94	107	120	104	A-A	12395
17	11	50	53	56	94	107	120	54	A-A	19737
17	11	57	64	72	94	107	120	43	A-A	39072
17	11	75	82	89	94	107	120	25	A-A	3981
17	11	7	28	50	56	56	57	28	B-B	4953
17	11	7	28	50	72	73	75	45	B-B	23429
17	11	7	28	50	89	91	94	63	B-B	54287
17	15	7	8	9	58	59	60	51	A-A	816
17	15	7	8	9	62	63	64	55	A-A	1253
17	15	7	8	9	73	87	102	79	A-A	8394
17	15	11	12	13	58	59	60	47	A-A	750
17	15	11	12	13	62	63	64	51	A-A	865
17	15	11	12	13	73	87	102	75	A-A	7296
17	15	27	27	28	73	87	102	60	A-A	4524
17	15	31	32	33	73	87	102	55	A-A	8287
17	15	34	37	40	73	87	102	50	A-A	19200
17	15	58	59	60	73	87	102	28	A-A	1250
17	15	62	63	64	73	87	102	24	A-A	86
17	15	0	3	7	40	49	58	46	B-B	10807
17	15	0	3	7	60	61	62	58	B-B	2052
17	15	0	3	7	64	68	73	65	B-B	8986
17	15	9	10	11	40	49	58	39	B-B	1904
17	15	9	10	11	60	61	62	51	B-B	1046
17	15	9	10	11	64	68	73	58	B-B	2200
17	15	13	20	27	40	49	58	29	B-B	1934
17	15	13	20	27	60	61	62	41	B-B	2915
17	15	13	20	27	64	68	73	48	B-B	21759
17	15	28	29	31	64	68	73	39	B-B	2039
17	15	33	33	34	64	68	73	35	B-B	46
17	17	4	8	13	44	47	50	39	A-A	3927
17	17	4	8	13	66	67	68	59	A-A	3037
17	17	4	8	13	70	73	76	65	A-A	11017
17	17	4	8	13	78	83	88	75	A-A	19117
17	17	14	14	15	66	67	68	53	A-A	662
17	17	14	14	15	70	73	76	59	A-A	2015
17	17	14	14	15	78	83	88	69	A-A	3098
17	17	24	30	36	66	67	68	37	A-A	1674
17	17	24	30	36	70	73	76	43	A-A	8697
17	17	24	30	36	78	83	88	53	A-A	19138
17	17	44	47	50	78	83	88	36	A-A	1393
17	17	0	2	4	36	40	44	38	B-B	564
17	17	0	2	4	50	58	66	56	B-B	6838
17	17	0	2	4	68	69	70	67	B-B	1073
17	17	0	2	4	76	77	78	75	B-B	1113
17	17	0	2	4	88	90	92	88	B-B	702
17	17	13	13	14	50	58	66	45	B-B	2566
17	17	13	13	14	68	69	70	56	B-B	679
17	17	13	13	14	76	77	78	64	B-B	703
17	17	13	13	14	88	90	92	77	B-B	1914
17	17	15	19	24	50	58	66	39	B-B	11520
17	17	15	19	24	68	69	70	50	B-B	6464
17	17	15	19	24	76	77	78	58	B-B	6298
17	17	15	19	24	88	90	92	71	B-B	9160
17	17	36	40	44	76	77	78	37	B-B	569
17	17	36	40	44	88	90	92	50	B-B	9276
17	17	50	58	66	88	90	92	32	B-B	1010
17	19	0	3	7	41	45	49	42	A-A	1996
17	19	0	3	7	53	56	59	53	A-A	2877
17	19	10	10	11	53	56	59	46	A-A	1644
17	19	7	8	10	49	51	53	43	B-B	2614
17	19	11	17	24	49	51	53	34	B-B	684
33	2	25	30	36	70	75	80	45	A-A	34192
33	2	25	30	36	90	92	94	62	A-A	9454
33	2	25	30	36	102	104	106	74	A-A	12889
33	2	25	30	36	115	115	116	85	A-A	4532
33	2	25	30	36	117	133	149	103	A-A	71501
33	2	25	30	36	151	164	177	134	A-A	68045
33	2	25	30	36	178	179	180	149	A-A	3277
33	2	59	60	61	102	104	106	44	A-A	1868
33	2	59	60	61	115	115	116	55	A-A	875
33	2	59	60	61	117	133	149	73	A-A	12662
33	2	59	60	61	151	164	177	104	A-A	7196
33	2	59	60	61	178	179	180	119	A-A	480
33	2	70	75	80	115	115	116	40	A-A	2648
33	2	70	75	80	117	133	149	58	A-A	76836
33	2	70	75	80	151	164	177	89	A-A	69148
33	2	70	75	80	178	179	180	104	A-A	3636
33	2	90	92	94	117	133	149	41	A-A	13140
33	2	90	92	94	151	164	177	72	A-A	16311
33	2	90	92	94	178	179	180	87	A-A	1496
33	2	102	104	106	117	133	149	29	A-A	8229
33	2	102	104	106	151	164	177	60	A-A	31842
33	2	102	104	106	178	179	180	75	A-A	2359
33	2	115	115	116	151	164	177	49	A-A	10419
33	2	115	115	116	178	179	180	64	A-A	781
33	2	117	133	149	151	164	177	31	A-A	48593
33	2	117	133	149	178	179	180	46	A-A	11196
33	2	0	12	25	36	47	59	35	B-B	76204
33	2	0	12	25	61	65	70	53	B-B	86317
33	2	0	12	25	80	85	90	73	B-B	73574
33	2	0	12	25	94	98	102	86	B-B	67568
33	2	0	12	25	106	110	115	98	B-B	76380
33	2	0	12	25	116	116	117	104	B-B	9921
33	2	0	12	25	149	150	151	138	B-B	9490
33	2	0	12	25	177	177	178	165	B-B	6670
33	2	36	47	59	80	85	90	38	B-B	31217
33	2	36	47	59	94	98	102	51	B-B	46858
33	2	36	47	59	106	110	115	63	B-B	79326
33	2	36	47	59	116	116	117	69	B-B	9177
33	2	36	47	59	149	150	151	103	B-B	8811
33	2	36	47	59	177	177	178	130	B-B	6409
33	2	61	65	70	94	98	102	33	B-B	161
33	2	61	65	70	106	110	115	45	B-B	18207
33	2	61	65	70	116	116	117	51	B-B	3334
33	2	61	65	70	149	150	151	85	B-B	2699
33	2	61	65	70	177	177	178	112	B-B	2997
33	2	80	85	90	149	150	151	65	B-B	3342
33	2	80	85	90	177	177	178	92	B-B	3445
33	2	94	98	102	149	150	151	52	B-B	3174
33	2	94	98	102	177	177	178	79	B-B	3780
33	2	106	110	115	149	150	151	40	B-B	2826
33	2	106	110	115	177	177	178	67	B-B	5481
33	2	116	116	117	177	177	178	61	B-B	815
33	4	11	12	14	53	58	64	46	A-A	12542
33	4	11	12	14	82	85	89	73	A-A	8790
33	4	11	12	14	98	104	110	92	A-A	9904
33	4	11	12	14	116	130	144	118	A-A	20990
33	4	11	12	14	148	151	154	139	A-A	4335
33	4	32	33	34	82	85	89	52	A-A	4641
