chrom	start	end	cate	start_bin	end_bin
chr1	0	36000000	B	0	36
chr1	36000000	41000000	A	36	41
chr1	41000000	43000000	B	41	43
chr1	43000000	44000000	A	43	44
chr1	44000000	55000000	B	44	55
chr1	55000000	56000000	A	55	56
chr1	56000000	57000000	B	56	57
chr1	57000000	65000000	A	57	65
chr1	65000000	72000000	B	65	72
chr1	72000000	79000000	A	72	79
chr1	79000000	86000000	B	79	86
chr1	86000000	94000000	A	86	94
chr1	94000000	106000000	B	94	106
chr1	106000000	107000000	A	106	107
chr1	107000000	118000000	B	107	118
chr1	118000000	122000000	A	118	122
chr1	122000000	125000000	B	122	125
chr1	125000000	193000000	A	125	193
chr10	0	19000000	B	0	19
chr10	19000000	25000000	A	19	25
chr10	25000000	40000000	B	25	40
chr10	40000000	44000000	A	40	44
chr10	44000000	59000000	B	44	59
chr10	59000000	64000000	A	59	64
chr10	64000000	67000000	B	64	67
chr10	67000000	71000000	A	67	71
chr10	71000000	75000000	B	71	75
chr10	75000000	113000000	A	75	113
chr10	113000000	115000000	B	113	115
chr10	115000000	128000000	A	115	128
chr11	0	7000000	A	0	7
chr11	7000000	50000000	B	7	50
chr11	50000000	56000000	A	50	56
chr11	56000000	57000000	B	56	57
chr11	57000000	72000000	A	57	72
chr11	72000000	75000000	B	72	75
chr11	75000000	89000000	A	75	89
chr11	89000000	94000000	B	89	94
chr11	94000000	120000000	A	94	120
chr12	0	36000000	A	0	36
chr12	36000000	40000000	B	36	40
chr12	40000000	41000000	A	40	41
chr12	41000000	44000000	B	41	44
chr12	44000000	56000000	A	44	56
chr12	56000000	69000000	B	56	69
chr12	69000000	88000000	A	69	88
chr12	88000000	102000000	B	88	102
chr12	102000000	118000000	A	102	118
chr13	0	4000000	A	0	4
chr13	4000000	9000000	B	4	9
chr13	9000000	10000000	A	9	10
chr13	10000000	15000000	B	10	15
chr13	15000000	16000000	A	15	16
chr13	16000000	21000000	B	16	21
chr13	21000000	22000000	A	21	22
chr13	22000000	23000000	B	22	23
chr13	23000000	33000000	A	23	33
chr13	33000000	34000000	B	33	34
chr13	34000000	50000000	A	34	50
chr13	50000000	51000000	B	50	51
chr13	51000000	61000000	A	51	61
chr13	61000000	63000000	B	61	63
chr13	63000000	64000000	A	63	64
chr13	64000000	69000000	B	64	69
chr13	69000000	74000000	A	69	74
chr13	74000000	93000000	B	74	93
chr13	93000000	104000000	A	93	104
chr13	104000000	111000000	B	104	111
chr13	111000000	113000000	A	111	113
chr13	113000000	118000000	B	113	118
chr14	0	5000000	B	0	5
chr14	5000000	79000000	A	5	79
chr14	79000000	115000000	B	79	115
chr14	115000000	122000000	A	115	122
chr15	0	7000000	B	0	7
chr15	7000000	9000000	A	7	9
chr15	9000000	11000000	B	9	11
chr15	11000000	13000000	A	11	13
chr15	13000000	27000000	B	13	27
chr15	27000000	28000000	A	27	28
chr15	28000000	31000000	B	28	31
chr15	31000000	33000000	A	31	33
chr15	33000000	34000000	B	33	34
chr15	34000000	40000000	A	34	40
chr15	40000000	58000000	B	40	58
chr15	58000000	60000000	A	58	60
chr15	60000000	62000000	B	60	62
chr15	62000000	64000000	A	62	64
chr15	64000000	73000000	B	64	73
chr15	73000000	102000000	A	73	102
chr16	0	39000000	A	0	39
chr16	39000000	42000000	B	39	42
chr16	42000000	47000000	A	42	47
chr16	47000000	49000000	B	47	49
chr16	49000000	51000000	A	49	51
chr16	51000000	52000000	B	51	52
chr16	52000000	53000000	A	52	53
chr16	53000000	54000000	B	53	54
chr16	54000000	59000000	A	54	59
chr16	59000000	90000000	B	59	90
chr16	90000000	96000000	A	90	96
chr17	0	4000000	B	0	4
chr17	4000000	13000000	A	4	13
chr17	13000000	14000000	B	13	14
chr17	14000000	15000000	A	14	15
chr17	15000000	24000000	B	15	24
chr17	24000000	36000000	A	24	36
chr17	36000000	44000000	B	36	44
chr17	44000000	50000000	A	44	50
chr17	50000000	66000000	B	50	66
chr17	66000000	68000000	A	66	68
chr17	68000000	70000000	B	68	70
chr17	70000000	76000000	A	70	76
chr17	76000000	78000000	B	76	78
chr17	78000000	88000000	A	78	88
chr17	88000000	92000000	B	88	92
chr18	0	12000000	B	0	12
chr18	12000000	13000000	A	12	13
chr18	13000000	32000000	B	13	32
chr18	32000000	37000000	A	32	37
chr18	37000000	47000000	B	37	47
chr18	47000000	51000000	A	47	51
chr18	51000000	52000000	B	51	52
chr18	52000000	70000000	A	52	70
chr18	70000000	73000000	B	70	73
chr18	73000000	85000000	A	73	85
chr18	85000000	88000000	B	85	88
chr19	0	7000000	A	0	7
chr19	7000000	10000000	B	7	10
chr19	10000000	11000000	A	10	11
chr19	11000000	24000000	B	11	24
chr19	24000000	32000000	A	24	32
chr19	32000000	41000000	B	32	41
chr19	41000000	49000000	A	41	49
chr19	49000000	53000000	B	49	53
chr19	53000000	59000000	A	53	59
chr2	0	25000000	B	0	25
chr2	25000000	36000000	A	25	36
chr2	36000000	59000000	B	36	59
chr2	59000000	61000000	A	59	61
chr2	61000000	70000000	B	61	70
chr2	70000000	80000000	A	70	80
chr2	80000000	90000000	B	80	90
chr2	90000000	94000000	A	90	94
chr2	94000000	102000000	B	94	102
chr2	102000000	106000000	A	102	106
chr2	106000000	115000000	B	106	115
chr2	115000000	116000000	A	115	116
chr2	116000000	117000000	B	116	117
chr2	117000000	149000000	A	117	149
chr2	149000000	151000000	B	149	151
chr2	151000000	177000000	A	151	177
chr2	177000000	178000000	B	177	178
chr2	178000000	180000000	A	178	180
chr3	0	9000000	B	0	9
chr3	9000000	10000000	A	9	10
chr3	10000000	27000000	B	10	27
chr3	27000000	29000000	A	27	29
chr3	29000000	30000000	B	29	30
chr3	30000000	31000000	A	30	31
chr3	31000000	35000000	B	31	35
chr3	35000000	42000000	A	35	42
chr3	42000000	51000000	B	42	51
chr3	51000000	59000000	A	51	59
chr3	59000000	65000000	B	59	65
chr3	65000000	67000000	A	65	67
chr3	67000000	68000000	B	67	68
chr3	68000000	70000000	A	68	70
chr3	70000000	79000000	B	70	79
chr3	79000000	80000000	A	79	80
chr3	80000000	82000000	B	80	82
chr3	82000000	91000000	A	82	91
chr3	91000000	95000000	B	91	95
chr3	95000000	105000000	A	95	105
chr3	105000000	108000000	B	105	108
chr3	108000000	109000000	A	108	109
chr3	109000000	122000000	B	109	122
chr3	122000000	123000000	A	122	123
chr3	123000000	130000000	B	123	130
chr3	130000000	132000000	A	130	132
chr3	132000000	146000000	B	132	146
chr3	146000000	147000000	A	146	147
chr3	147000000	158000000	B	147	158
chr4	0	11000000	B	0	11
chr4	11000000	14000000	A	11	14
chr4	14000000	32000000	B	14	32
chr4	32000000	34000000	A	32	34
chr4	34000000	41000000	B	34	41
chr4	41000000	49000000	A	41	49
chr4	49000000	53000000	B	49	53
chr4	53000000	64000000	A	53	64
chr4	64000000	82000000	B	64	82
chr4	82000000	89000000	A	82	89
chr4	89000000	98000000	B	89	98
chr4	98000000	110000000	A	98	110
chr4	110000000	116000000	B	110	116
chr4	116000000	144000000	A	116	144
chr4	144000000	148000000	B	144	148
chr4	148000000	154000000	A	148	154
chr5	0	24000000	B	0	24
chr5	24000000	26000000	A	24	26
chr5	26000000	28000000	B	26	28
chr5	28000000	38000000	A	28	38
chr5	38000000	64000000	B	38	64
chr5	64000000	67000000	A	64	67
chr5	67000000	73000000	B	67	73
chr5	73000000	77000000	A	73	77
chr5	77000000	99000000	B	77	99
chr5	99000000	104000000	A	99	104
chr5	104000000	106000000	B	104	106
chr5	106000000	108000000	A	106	108
chr5	108000000	110000000	B	108	110
chr5	110000000	145000000	A	110	145
chr5	145000000	146000000	B	145	146
chr5	146000000	149000000	A	146	149
chr6	0	29000000	B	0	29
chr6	29000000	40000000	A	29	40
chr6	40000000	48000000	B	40	48
chr6	48000000	55000000	A	48	55
chr6	55000000	71000000	B	55	71
chr6	71000000	73000000	A	71	73
chr6	73000000	83000000	B	73	83
chr6	83000000	102000000	A	83	102
chr6	102000000	108000000	B	102	108
chr6	108000000	109000000	A	108	109
chr6	109000000	112000000	B	109	112
chr6	112000000	121000000	A	112	121
chr6	121000000	125000000	B	121	125
chr6	125000000	129000000	A	125	129
chr6	129000000	134000000	B	129	134
chr6	134000000	138000000	A	134	138
chr6	138000000	139000000	B	138	139
chr6	139000000	147000000	A	139	147
chr7	0	50000000	A	0	50
chr7	50000000	60000000	B	50	60
chr7	60000000	63000000	A	60	63
