tissue	chrom	start1_bin	mid1_bin	end1_bin	start2_bin	mid2_bin	end2_bin	bin_distance	cate	contact_num
17	2	25	30	36	59	60	61	30	A-A	5719
17	2	25	30	36	70	75	80	45	A-A	33497
17	2	25	30	36	90	92	94	62	A-A	8091
17	2	25	30	36	102	104	106	74	A-A	5543
17	2	25	30	36	115	115	116	85	A-A	3860
17	2	25	30	36	117	133	149	103	A-A	63951
17	2	25	30	36	151	164	177	134	A-A	65183
17	2	25	30	36	178	179	180	149	A-A	6074
17	2	59	60	61	70	75	80	15	A-A	10014
17	2	59	60	61	90	92	94	32	A-A	2275
17	2	59	60	61	102	104	106	44	A-A	2781
17	2	59	60	61	115	115	116	55	A-A	932
17	2	59	60	61	117	133	149	73	A-A	15707
17	2	59	60	61	151	164	177	104	A-A	9649
17	2	59	60	61	178	179	180	119	A-A	1065
17	2	70	75	80	90	92	94	17	A-A	13357
17	2	70	75	80	102	104	106	29	A-A	13273
17	2	70	75	80	115	115	116	40	A-A	4803
17	2	70	75	80	117	133	149	58	A-A	85157
17	2	70	75	80	151	164	177	89	A-A	48317
17	2	70	75	80	178	179	180	104	A-A	3294
17	2	90	92	94	102	104	106	12	A-A	4861
17	2	90	92	94	115	115	116	23	A-A	2163
17	2	90	92	94	117	133	149	41	A-A	28846
17	2	90	92	94	151	164	177	72	A-A	11548
17	2	90	92	94	178	179	180	87	A-A	1214
17	2	102	104	106	115	115	116	11	A-A	3591
17	2	102	104	106	117	133	149	29	A-A	46350
17	2	102	104	106	151	164	177	60	A-A	16661
17	2	102	104	106	178	179	180	75	A-A	2193
17	2	115	115	116	117	133	149	18	A-A	22729
17	2	115	115	116	151	164	177	49	A-A	8561
17	2	115	115	116	178	179	180	64	A-A	917
17	2	117	133	149	151	164	177	31	A-A	222434
17	2	117	133	149	178	179	180	46	A-A	24847
17	2	151	164	177	178	179	180	15	A-A	25086
17	2	0	12	25	36	47	59	35	B-B	200702
17	2	0	12	25	61	65	70	53	B-B	75896
17	2	0	12	25	80	85	90	73	B-B	69071
17	2	0	12	25	94	98	102	86	B-B	50367
17	2	0	12	25	106	110	115	98	B-B	38176
17	2	0	12	25	116	116	117	104	B-B	8626
17	2	0	12	25	149	150	151	138	B-B	8827
17	2	0	12	25	177	177	178	165	B-B	7898
17	2	36	47	59	61	65	70	18	B-B	92865
17	2	36	47	59	80	85	90	38	B-B	75151
17	2	36	47	59	94	98	102	51	B-B	48738
17	2	36	47	59	106	110	115	63	B-B	44251
17	2	36	47	59	116	116	117	69	B-B	6531
17	2	36	47	59	149	150	151	103	B-B	8726
17	2	36	47	59	177	177	178	130	B-B	10200
17	2	61	65	70	80	85	90	20	B-B	40729
17	2	61	65	70	94	98	102	33	B-B	27136
17	2	61	65	70	106	110	115	45	B-B	25798
17	2	61	65	70	116	116	117	51	B-B	3748
17	2	61	65	70	149	150	151	85	B-B	3600
17	2	61	65	70	177	177	178	112	B-B	6021
17	2	80	85	90	94	98	102	13	B-B	31269
17	2	80	85	90	106	110	115	25	B-B	29666
17	2	80	85	90	116	116	117	31	B-B	4502
17	2	80	85	90	149	150	151	65	B-B	6162
17	2	80	85	90	177	177	178	92	B-B	5153
17	2	94	98	102	106	110	115	12	B-B	33687
17	2	94	98	102	116	116	117	18	B-B	4846
17	2	94	98	102	149	150	151	52	B-B	7068
17	2	94	98	102	177	177	178	79	B-B	6711
17	2	106	110	115	116	116	117	6	B-B	9089
